Energy,Exact,Mix8Av,Kav,Tav,H30av,H60av,H90av,MixBasis0,KBasis0,TBasis0,H30Basis0,H60Basis0,H90Basis0
6.33333333333333,1523.53418569879,1.64600761469896E-05,2.85794083319669E-05,0.000139038662712,1.78821606584686E-05,2.98640215404147E-05,2.29861976419203E-05,1523.53863638262,1523.38108235524,1523.60611143132,1523.50125104167,1523.55823949312,1523.58474232172
6.66666666666667,1469.85720159051,1.87085113643072E-05,3.27713276917488E-05,3.63744270971723E-05,1.55176181724768E-05,2.20809644796837E-05,2.46884180611932E-05,1469.84668657354,1469.66593555078,1469.95610068302,1469.83673643482,1469.85607395609,1469.87855014211
7,1418.23957310363,2.00749329661178E-05,4.27166643244555E-05,3.40166760172899E-05,1.59783768768657E-05,2.03556508207353E-05,2.41473970380304E-05,1418.21902683615,1417.98892599855,1418.37375351006,1418.20838556396,1418.22119939313,1418.24514599935
7.33333333333333,1368.94595519757,2.08110806705892E-05,6.05180361177914E-05,3.42970189862386E-05,1.83540184045713E-05,2.01789971952481E-05,2.2091255938342E-05,1368.920811404,1368.72532197061,1369.070072097,1368.90234079971,1368.91822490697,1368.94147552715
7.66666666666667,1322.10930695246,2.14646109839815E-05,5.10663101861246E-05,3.14140786359306E-05,2.06850283081665E-05,1.95831179354599E-05,2.03804463313642E-05,1322.08577021424,1322.00931534226,1322.19716065211,1322.05766967427,1322.07713594768,1322.09928673201
8,1277.82854991334,2.08422103000932E-05,3.327571649542E-05,2.77440478260384E-05,2.26562995122196E-05,1.91382694839416E-05,1.9683972095913E-05,1277.80810782124,1277.7922237402,1277.88702282446,1277.77434865935,1277.79626680881,1277.81646936978
8.33333333333333,1236.11257283784,2.08391593967413E-05,2.98637409216853E-05,2.52584509177853E-05,2.32835898543975E-05,1.95518096088178E-05,1.94276679171962E-05,1236.09571141358,1236.09168987044,1236.15208684873,1236.06200830871,1236.08360360833,1236.10079458235
8.66666666666667,1196.92003723473,2.11896855688665E-05,3.08788845748287E-05,2.56196031520723E-05,2.30398380009803E-05,1.96046691660979E-05,1.95451535785119E-05,1196.90713279576,1196.87968141946,1196.94741926683,1196.87814963834,1196.89644083868,1196.9099165566
9,1160.07826672135,2.17621742394621E-05,3.77484909408321E-05,2.45732477936308E-05,2.19828241218833E-05,1.6826316185915E-05,2.44798197087045E-05,1160.07069488564,1160.21041791799,1160.09754823685,1160.04755539908,1160.06078133676,1160.07039193677
9.33333333333333,1125.54090601393,2.10087288543366E-05,2.66541957097584E-05,2.29641371340264E-05,2.15917567740722E-05,2.28070712735903E-05,2.16339323010588E-05,1125.53732637059,1125.5801246749,1125.55445636136,1125.52159642146,1125.52935472403,1125.53531684324
9.66666666666667,1093.16022500646,2.14616867482471E-05,2.40436904129217E-05,2.32890110649859E-05,2.89164415003028E-05,2.19080637424851E-05,2.34831284546085E-05,1093.15973771848,1093.18289105244,1093.16942292111,1093.15137693048,1093.15395299559,1093.15657430879
10,1062.9737606372,2.20298577291167E-05,2.67415503357222E-05,2.40316418302345E-05,2.28632902960966E-05,2.16026785950738E-05,2.37077835372966E-05,1062.97561562,1062.98806538696,1062.97930798791,1062.97414021143,1062.97187405164,1062.9713465265
10.3333333333333,1034.77904470637,2.14246738114563E-05,2.9044055848843E-05,2.41805430150729E-05,2.09162802416281E-05,2.02717151171196E-05,2.14471839675034E-05,1034.78250948005,1034.7875388945,1034.78118695323,1034.78763904825,1034.78058098882,1034.77684564579
10.6666666666667,1008.6175722566,2.0641480819298E-05,2.93283362533865E-05,2.39765338455224E-05,1.98530755688571E-05,1.93959665854603E-05,1.997761587022E-05,1008.62190211073,1008.62221975802,1008.61616521048,1008.63368499653,1008.62146426063,1008.61409096763
11,984.403221105337,1.98507836665916E-05,2.83195300748863E-05,2.39341112221566E-05,1.95421645442575E-05,1.88823680670959E-05,1.98356801671981E-05,984.407695083876,984.406536713433,984.397842456635,984.426522612738,984.408276823501,984.396276731573
11.3333333333333,962.12000709484,1.91348801342075E-05,2.70869709791166E-05,2.38110836424551E-05,1.9596410319314E-05,1.91477504912683E-05,2.0557381504586E-05,962.123908867886,962.124990419582,962.110051958147,962.150539618103,962.12483987933,962.106250431913
11.6666666666667,941.732417834199,1.84768845912626E-05,2.49359418365219E-05,2.36385628529683E-05,1.9683038747426E-05,1.99355400052058E-05,2.23277995425465E-05,941.735038045555,941.741953346696,941.717345781925,941.770604998395,941.735409885095,941.706392905673
